num_dense_layers,embedding_size,optimizer,loss,accuracy
1,4,adam,0.693158745765686,0.5600414276123047
1,8,adam,0.5976575613021851,0.695652186870575
1,16,adam,0.6001090407371521,0.8421325087547302
2,4,adam,0.6001090407371521,0.8421325087547302
2,8,adam,0.21164266765117645,0.9342650175094604
2,16,adam,0.2563607692718506,0.9368529915809631
3,4,adam,0.2563607692718506,0.9368529915809631
3,8,adam,0.2563607692718506,0.9368529915809631
3,16,adam,0.21113835275173187,0.9399585723876953
